                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.218,                 2.4077,                 1.3848,                 0.4167,                0.46175,                0.36388,                0.25108,                 1.0744,                 1.8404,                  1.335,               0.070411,              0.0032877,              0.0032877
                      1,                0.91882,                 1.3865,                 1.1371,                0.57591,                0.51145,                0.50919,                0.35609,                0.97308,                 1.5971,                 1.2245,               0.040378,              0.0065882,              0.0065882
                      2,                0.90172,                 1.2427,                 1.1023,                0.48663,                0.53623,                0.51324,                0.35375,                 1.0659,                 1.4178,                 1.2708,               0.010312,              0.0098558,              0.0098558
                      3,                 0.9369,                 1.1317,                 1.1193,                0.51178,                0.49376,                0.46178,                0.31136,                 1.1171,                 1.5724,                 1.3296,              0.0098515,              0.0098515,              0.0098515
                      4,                0.95413,                 1.1413,                 1.1266,                0.50406,                0.49022,                  0.474,                 0.3016,                 1.1694,                 1.7061,                 1.3148,              0.0098515,              0.0098515,              0.0098515
                      5,                0.94893,                 1.0636,                 1.1168,                0.57189,                0.49353,                0.53205,                0.34039,                  1.115,                 1.4119,                 1.3046,               0.009802,               0.009802,               0.009802
                      6,                0.91258,                 1.0034,                 1.0989,                0.53608,                 0.5404,                0.52135,                0.35851,                 1.0761,                  1.479,                  1.268,              0.0097525,              0.0097525,              0.0097525
                      7,                0.92152,                0.97595,                 1.1079,                0.61466,                0.51424,                0.55056,                0.36153,                 1.0718,                 1.4599,                 1.3079,               0.009703,               0.009703,               0.009703
                      8,                0.88805,                0.93739,                 1.0937,                0.60066,                0.53738,                0.55356,                0.36278,                 1.0627,                 1.3257,                 1.2825,              0.0096535,              0.0096535,              0.0096535
                      9,                0.87685,                0.91003,                 1.0813,                0.53086,                0.58779,                0.56631,                0.37489,                 1.0997,                 1.3212,                 1.2898,               0.009604,               0.009604,               0.009604
                     10,                0.86779,                0.88235,                 1.0784,                0.56287,                0.57019,                0.53854,                0.34434,                 1.1089,                  1.528,                 1.3333,              0.0095545,              0.0095545,              0.0095545
                     11,                0.84736,                0.85287,                 1.0768,                0.61145,                0.54395,                0.56904,                0.37632,                 1.1176,                 1.3906,                 1.3045,               0.009505,               0.009505,               0.009505
